Tick 6467(6465), Delay 40 ms, IGT 05:23.250, RTA 09:08.728-09:08.768
Tick 6468(6466), Delay 58 ms, IGT 05:23.300, RTA 09:08.768-09:08.826
Tick 6475(6473), Delay 45 ms, IGT 05:23.650, RTA 09:09.128-09:09.173
Tick 6476(6474), Delay 56 ms, IGT 05:23.700, RTA 09:09.173-09:09.229
Tick 6478(6476), Delay 43 ms, IGT 05:23.800, RTA 09:09.277-09:09.320
Tick 6479(6477), Delay 59 ms, IGT 05:23.850, RTA 09:09.320-09:09.379
Tick 6483(6481), Delay 43 ms, IGT 05:24.050, RTA 09:09.531-09:09.574
Tick 6485(6483), Delay 55 ms, IGT 05:24.150, RTA 09:09.625-09:09.680
Tick 6487(6485), Delay 44 ms, IGT 05:24.250, RTA 09:09.727-09:09.771
Tick 6488(6486), Delay 55 ms, IGT 05:24.300, RTA 09:09.771-09:09.826
Tick 6489(6487), Delay 44 ms, IGT 05:24.350, RTA 09:09.826-09:09.870
Tick 6490(6488), Delay 55 ms, IGT 05:24.400, RTA 09:09.870-09:09.925
Tick 6492(6490), Delay 57 ms, IGT 05:24.500, RTA 09:09.979-09:10.036
Tick 6494(6492), Delay 44 ms, IGT 05:24.600, RTA 09:10.083-09:10.127
Tick 6504(6502), Delay 44 ms, IGT 05:25.100, RTA 09:10.576-09:10.620
Tick 6505(6503), Delay 55 ms, IGT 05:25.150, RTA 09:10.620-09:10.675
Tick 6510(6508), Delay 44 ms, IGT 05:25.400, RTA 09:10.877-09:10.921
Tick 6511(6509), Delay 55 ms, IGT 05:25.450, RTA 09:10.921-09:10.976
Tick 6519(6517), Delay 44 ms, IGT 05:25.850, RTA 09:11.326-09:11.370
Tick 6520(6518), Delay 57 ms, IGT 05:25.900, RTA 09:11.370-09:11.427
Tick 6522(6520), Delay 45 ms, IGT 05:26.000, RTA 09:11.481-09:11.526
Tick 6534(6532), Delay 55 ms, IGT 05:26.600, RTA 09:12.074-09:12.129
Tick 6550(6548), Delay 55 ms, IGT 05:27.400, RTA 09:12.871-09:12.926
Tick 6551(6549), Delay 45 ms, IGT 05:27.450, RTA 09:12.926-09:12.971
Tick 6552(6550), Delay 55 ms, IGT 05:27.500, RTA 09:12.971-09:13.026
Tick 6562(6560), Delay 44 ms, IGT 05:28.000, RTA 09:13.475-09:13.519
Tick 6565(6563), Delay 45 ms, IGT 05:28.150, RTA 09:13.624-09:13.669
Tick 6578(6576), Delay 44 ms, IGT 05:28.800, RTA 09:14.275-09:14.319
Tick 6579(6577), Delay 55 ms, IGT 05:28.850, RTA 09:14.319-09:14.374
Tick 6583(6581), Delay 58 ms, IGT 05:29.050, RTA 09:14.520-09:14.578
Tick 6592(6590), Delay 56 ms, IGT 05:29.500, RTA 09:14.973-09:15.029
Tick 6595(6593), Delay 44 ms, IGT 05:29.650, RTA 09:15.126-09:15.170
Tick 6596(6594), Delay 55 ms, IGT 05:29.700, RTA 09:15.170-09:15.225
Tick 6600(6598), Delay 43 ms, IGT 05:29.900, RTA 09:15.377-09:15.420
Tick 6602(6600), Delay 64 ms, IGT 05:30.000, RTA 09:15.467-09:15.531
Tick 6603(6601), Delay 44 ms, IGT 05:30.050, RTA 09:15.531-09:15.575
Tick 6604(6602), Delay 65 ms, IGT 05:30.100, RTA 09:15.575-09:15.640
Tick 6605(6603), Delay 45 ms, IGT 05:30.150, RTA 09:15.640-09:15.685
Tick 6606(6604), Delay 39 ms, IGT 05:30.200, RTA 09:15.685-09:15.724
Tick 6610(6608), Delay 57 ms, IGT 05:30.400, RTA 09:15.872-09:15.929
Tick 6613(6611), Delay 44 ms, IGT 05:30.550, RTA 09:16.027-09:16.071
Tick 6614(6612), Delay 55 ms, IGT 05:30.600, RTA 09:16.071-09:16.126
Tick 6616(6614), Delay 42 ms, IGT 05:30.700, RTA 09:16.178-09:16.220
Tick 6617(6615), Delay 56 ms, IGT 05:30.750, RTA 09:16.220-09:16.276
Tick 6622(6620), Delay 35 ms, IGT 05:31.000, RTA 09:16.483-09:16.518
Tick 6623(6621), Delay 60 ms, IGT 05:31.050, RTA 09:16.518-09:16.578
Tick 6633(6631), Delay 58 ms, IGT 05:31.550, RTA 09:17.022-09:17.080
Tick 6634(6632), Delay 42 ms, IGT 05:31.600, RTA 09:17.080-09:17.122
